Flight_ID,Booking_ID,Passenger_ID,Leg_ID,FlightType,Price,FP_FirstName,FP_LastName,FP_PassportNumber,FP_Email,LegNumber,DepartureAirport,DepartureDateTime,DepartureSeat,ArrivalAirport,ArrivalDateTime,ArrivalSeat,FlightPrice,User_ID,U_FirstName,U_LastName,U_Email,U_Password,U_Address,U_Phone,Review_ID,ReviewRating,ReviewComment,Hotel_ID,HotelName,HotelLocation,HotelStar,Chain_ID,ChainName,HC_ContactPerson,HC_ContactEmail,HC_ContactPhone,Amentity_ID,FitnessCenter,FreeParking,AirportShuttle,Laundry,PetFriendly,Pool,Bar,BookingDate,Status,Payment_ID,PaymentMethod,BookingDateTime,Room_ID,Guest_ID,RoomType,RoomArea,RoomCapacity,R_PricePerNight,PricePerNight,CheckInDateTime,CheckOutDateTime,CityView,NonSmoking,NumberOfGuest,HaveChildren,RentalCompany_ID,CRC_Name,CRC_FirstName,CRC_LastName,CRC_Phone,CRC_Email,Driver_ID,DriverAge,DriverLiscense,D_FirstName,D_LastName,Rental_ID,CarModel,NumberOfSeats,PickUpLocation,ReturnLocation,PickUpDateTime,ReturnDateTime,CR_PricePerDay
23396,27975,81927,37808,SpiceJet,5953,Mary,Wilson,6147626,mary.wilson@gmail.com,4,YPK,2024-06-20 00:17:25.692501,31A,EGA,2024-06-21 06:17:25.692501,21B,6523,96901,Anthony,Miller,anthony.miller@icloud.com,643708,"Maple Street, Lakewood, NY, 34567",352-576-4235,518567,2,Good,4,Courtyard,Stanford,3,1,Marriot,David,david@gmail.com,222-222-2222,004,True,True,True,True,True,True,True,2024-03-25 00:17:25.692501,confirmed,87627,Bank Transfer,2024-03-25 00:17:25.692501,1184,5028889,King,437.02,2.0,,653.54,2024-06-21 10:17:25.692501,2024-06-23 10:17:25.692501,True,True,1,False,110121,Budget Car Rental,Matthew,Miller,220-862-8380,matthew.miller@outlook.com,303689,54,8344233,Joseph,Thompson,130764,SUV,5,Hotel,Others,2024-06-25 06:17:25.692501,2024-06-27 06:17:25.692501,662
54499,39544,83521,74247,SpiceJet,5953,Robert,Anderson,7626194,robert.anderson@outlook.com,3,ZWB,2024-06-18 00:17:25.692518,13E,ZOZ,2024-06-19 06:17:25.692518,25C,1920,15518,Elizabeth,White,elizabeth.white@icloud.com,388020,"Oak Avenue, Rivertown, TX, 45678",691-613-3773,674347,5,Bad,2,Edition,Manhattan,5,1,Marriot,David,david@gmail.com,222-222-2222,002,True,True,True,True,True,True,True,2024-03-23 00:17:25.692518,confirmed,46236,Bank Transfer,2024-03-23 00:17:25.692518,701,1602012,Suite,536.94,6.0,,1113.05,2024-06-19 12:17:25.692518,2024-06-25 12:17:25.692518,True,True,6,True,686829,Fox Rent A Car,Andrei,White,223-731-9618,andrei.white@icloud.com,916748,88,3827042,Lena,Kim,611881,MiniVan,6,Airport,Hotel,2024-06-23 06:17:25.692518,2024-06-25 06:17:25.692518,222
11206,95768,93911,47092,AirAsia,5956,Sarah,Singh,7990484,sarah.singh@outlook.com,1,EGA,2023-12-14 00:17:25.692520,45C,WIT,2023-12-15 06:17:25.692520,10D,9859,42219,Elizabeth,Singh,elizabeth.singh@gmail.com,208122,"Elm Road, Sunnyvale, CA, 12345",819-219-8479,366374,1,Good,4,Courtyard,Stanford,3,1,Marriot,David,david@gmail.com,222-222-2222,004,True,True,True,True,True,True,True,2023-09-18 00:17:25.692520,confirmed,94345,Third Party,2023-09-18 00:17:25.692520,1180,7848146,King,403.33,2.0,,596.68,2023-12-15 14:17:25.692520,2023-12-18 14:17:25.692520,True,True,2,True,797732,Eurocar,Andrei,Müller,758-799-7489,andrei.müller@icloud.com,646154,27,5080581,David,Johnson,478214,SUV,5,Hotel,Hotel,2023-12-19 06:17:25.692520,2023-12-21 06:17:25.692520,801
11743,35444,25413,25232,Vistara,5955,Sandra,Jackson,3642704,sandra.jackson@gmail.com,4,GNM,2024-01-26 00:17:25.692522,5C,EAL,2024-01-27 06:17:25.692522,19A,3028,26628,Elizabeth,Thompson,elizabeth.thompson@icloud.com,513485,"Maple Street, Springfield, NY, 23456",866-707-4048,867684,2,Good,3,Westin,Detroit,4,1,Marriot,David,david@gmail.com,222-222-2222,003,True,True,True,True,True,True,True,2023-10-31 00:17:25.692522,confirmed,51258,Bank Transfer,2023-10-31 00:17:25.692522,370,2422949,Suite,608.74,6.0,,622.34,2024-01-27 11:17:25.692522,2024-02-05 11:17:25.692522,False,True,4,True,778581,Eurocar,Sandra,Martinez,635-242-8160,sandra.martinez@gmail.com,863560,30,1875974,Lena,Gupta,204915,EV,4,Others,Others,2024-01-31 06:17:25.692522,2024-02-02 06:17:25.692522,1003
42653,66674,40122,46182,Vistara,5955,Amit,Thompson,5701763,amit.thompson@icloud.com,5,ZSC,2024-03-04 00:17:25.692524,16B,JKD,2024-03-05 06:17:25.692524,21D,8581,16964,Anthony,Taylor,anthony.taylor@icloud.com,328724,"Maple Street, Hillcrest, FL, 34567",916-728-3199,459010,5,Bad,1,Marriot,Chicago,4,1,Marriot,David,david@gmail.com,222-222-2222,001,True,True,True,True,True,True,True,2023-12-08 00:17:25.692524,confirmed,90213,Bank Transfer,2023-12-08 00:17:25.692524,703,7823433,King,454.88,2.0,,350.0,2024-03-05 08:17:25.692524,2024-03-08 08:17:25.692524,False,False,2,False,454285,Budget Car Rental,Mark,Brown,472-603-2671,mark.brown@outlook.com,704961,40,8411282,Amit,Garcia,196310,Compact,4,Others,Others,2024-03-09 06:17:25.692524,2024-03-11 06:17:25.692524,507
76722,12270,41405,96426,Vistara,5955,Susan,Davis,9361248,susan.davis@icloud.com,3,EAL,2024-09-03 00:17:25.692526,14F,GNM,2024-09-04 06:17:25.692526,32A,1588,91127,Lisa,Moore,lisa.moore@icloud.com,738348,"Oak Avenue, Rivertown, CA, 34567",192-958-8059,463968,1,Fair,6,Conrad,Boston,5,2,Hilton,Jeff,jeff@outlook.com,666-666-6666,006,True,False,True,True,False,False,True,2024-06-08 00:17:25.692526,confirmed,36875,Debit Card,2024-06-08 00:17:25.692526,1073,6762580,King,494.68,2.0,,384.03,2024-09-04 16:17:25.692526,2024-09-11 16:17:25.692526,False,False,1,True,151882,Enterprise Rent-A-Car,John,Brown,164-672-7949,john.brown@icloud.com,433341,84,5207876,Linda,Rossi,830221,SUV,5,Airport,Others,2024-09-08 06:17:25.692526,2024-09-10 06:17:25.692526,1328
40017,91682,64956,36491,Vistara,6060,William,Wilson,1797293,william.wilson@icloud.com,2,ZOZ,2024-04-27 00:17:25.692528,14C,ELC,2024-04-28 06:17:25.692528,40A,4662,99550,Matthew,Brown,matthew.brown@outlook.com,516115,"Maple Street, Rivertown, NY, 56789",674-690-9417,259423,2,Good,6,Conrad,Boston,5,2,Hilton,Jeff,jeff@outlook.com,666-666-6666,006,True,False,True,True,False,False,True,2024-01-31 00:17:25.692528,confirmed,66860,Third Party,2024-01-31 00:17:25.692528,562,8946650,Suite,856.79,6.0,,762.92,2024-04-28 08:17:25.692528,2024-04-29 08:17:25.692528,False,False,4,False,607923,Avis Car Rental,Richard,Rossi,992-661-5256,richard.rossi@gmail.com,731631,84,7869345,Elizabeth,Rodriguez,366935,MiniVan,6,Others,Airport,2024-05-02 06:17:25.692528,2024-05-04 06:17:25.692528,731
25516,51388,86596,34792,Vistara,6060,Kumar,Gupta,5911061,kumar.gupta@gmail.com,3,EGA,2024-05-04 00:17:25.692530,23E,ZOZ,2024-05-05 06:17:25.692530,23A,2408,63883,Barbara,Kumar,barbara.kumar@gmail.com,419513,"Maple Street, Lakewood, CA, 12345",887-757-7533,157611,2,Bad,1,Marriot,Chicago,4,1,Marriot,David,david@gmail.com,222-222-2222,001,True,True,True,True,True,True,True,2024-02-07 00:17:25.692530,confirmed,39288,PayPal,2024-02-07 00:17:25.692530,1259,8942981,Suite,719.91,6.0,,665.09,2024-05-05 16:17:25.692530,2024-05-12 16:17:25.692530,False,True,5,False,371383,Enterprise Rent-A-Car,Hana,Thomas,844-415-2788,hana.thomas@outlook.com,161691,28,9643514,Kumar,Miller,918275,Sedan,4,Others,Airport,2024-05-09 06:17:25.692530,2024-05-11 06:17:25.692530,735
30235,92688,84226,11808,GO_FIRST,5954,Sandra,Miller,9611014,sandra.miller@gmail.com,2,LBV,2024-09-02 00:17:25.692532,9F,SKT,2024-09-03 06:17:25.692532,8F,2554,83889,Sandra,Schneider,sandra.schneider@icloud.com,241177,"Pine Lane, Lakewood, NY, 34567",513-374-8470,294769,3,Good,2,Edition,Manhattan,5,1,Marriot,David,david@gmail.com,222-222-2222,002,True,True,True,True,True,True,True,2024-06-07 00:17:25.692532,confirmed,70970,Bank Transfer,2024-06-07 00:17:25.692532,409,8040348,Suite,864.49,6.0,,1170.05,2024-09-03 10:17:25.692532,2024-09-12 10:17:25.692532,True,True,1,True,145704,Enterprise Rent-A-Car,Mark,Davis,855-731-1900,mark.davis@gmail.com,239798,87,5388582,Betty,Müller,483340,EV,4,Others,Hotel,2024-09-07 06:17:25.692532,2024-09-09 06:17:25.692532,197
46544,48653,88945,92710,GO_FIRST,5954,David,Miller,7602751,david.miller@outlook.com,3,JOB,2024-07-07 00:17:25.692534,30C,DOJ,2024-07-08 06:17:25.692534,24D,1537,63363,Fatima,Martin,fatima.martin@icloud.com,303272,"Maple Street, Springfield, CA, 34567",588-884-1866,500418,3,Bad,6,Conrad,Boston,5,2,Hilton,Jeff,jeff@outlook.com,666-666-6666,006,True,False,True,True,False,False,True,2024-04-11 00:17:25.692534,confirmed,39527,Bank Transfer,2024-04-11 00:17:25.692534,1151,3123050,King,452.73,2.0,,540.8,2024-07-08 11:17:25.692534,2024-07-17 11:17:25.692534,True,False,1,True,762697,Hertz,Charles,Kim,494-114-7914,charles.kim@gmail.com,700400,36,3813237,Richard,Li,377290,SUV,5,Others,Hotel,2024-07-12 06:17:25.692534,2024-07-14 06:17:25.692534,1085
